areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E08000001,Bolton,utla,2021-11-21,187532
E08000016,Barnsley,utla,2021-11-21,168232
E08000031,Wolverhampton,utla,2021-11-21,160759
E08000032,Bradford,utla,2021-11-21,321268
E09000018,Hounslow,utla,2021-11-21,182620
E09000032,Wandsworth,utla,2021-11-21,225990
E09000033,Westminster,utla,2021-11-21,142599
E10000034,Worcestershire,utla,2021-11-21,434576
S12000013,Na h-Eileanan Siar,utla,2021-11-21,20301
S12000029,South Lanarkshire,utla,2021-11-21,240006
S12000045,East Dunbartonshire,utla,2021-11-21,84970
E06000003,Redcar and Cleveland,utla,2021-11-20,96628
E06000014,York,utla,2021-11-20,145908
E06000050,Cheshire West and Chester,utla,2021-11-20,255807
E08000001,Bolton,utla,2021-11-20,187457
E08000016,Barnsley,utla,2021-11-20,168166
